age,salary,gender,country,purchase
21,67458.56,0,Indonesia,628.72
25,68688.22,1,Morocco,223.06
22,32150.58,0,Costa Rica,511.71
60,96027.71,0,Czech Republic,460.94
34,32495.31,1,Austria,817.4
41,105402.82,0,Venezuela,944.0
55,29135.11,0,Burkina Faso,983.41
37,31517.73,1,Kenya,931.15
47,140583.32,1,Paraguay,640.94
20,67965.39,1,Mauritius,270.06
42,23409.8,0,Uruguay,250.53
53,84483.88,1,Jamaica,110.77
51,120807.8,0,Cape Verde,154.61
20,149578.16,1,Serbia,850.33
42,87100.12,0,Maldives,624.16
54,112661.54,0,Bhutan,555.65
55,136346.96,0,Guadeloupe,35.29
37,61025.77,0,Bermuda,783.62
27,65379.92,0,Burundi,26.62
57,60211.61,1,Singapore,812.93
47,99218.24,0,Mozambique,618.01
42,105531.76,0,Jersey,601.17
39,137366.35,0,Belize,766.66
44,127011.69,0,Uruguay,753.65
48,119023.45,0,Guernsey,429.37
40,34985.22,1,New Zealand,524.55
20,61426.7,0,United States Virgin Islands,763.65
37,22006.56,0,Rwanda,540.13
20,46535.88,0,Bhutan,408.38
32,78114.1,1,Bahrain,231.32
58,79965.47,0,El Salvador,769.15
44,133758.41,0,Bangladesh,378.32
61,66225.65,1,Oman,134.91
62,54462.71,1,Samoa,841.53
51,31524.31,0,Papua New Guinea,780.52
33,49388.49,0,Bosnia and Herzegovina,490.13
26,39045.01,1,Andorra,610.99
26,65017.24,1,Romania,426.85
43,115091.59,0,Colombia,786.46
30,85197.19,0,Angola,303.34
22,29645.38,1,Botswana,943.06
43,56100.06,1,Pitcairn Islands,821.43
65,90625.14,0,Saudi Arabia,916.75
45,132875.27,1,Saint Helena,370.18
21,140802.59,0,Canada,58.62
45,77555.97,0,Montserrat,24.72
27,135425.56,0,Cyprus,155.53
52,132648.12,0,Mauritius,822.87
42,90077.37,1,Iceland,263.69
56,38668.47,1,Ghana,118.56
24,38976.22,0,Palau,398.13
40,78191.41,1,Belize,741.09
43,111500.55,1,Congo,210.56
19,129440.72,0,Estonia,218.66
33,73368.08,0,Saint Vincent and the Grenadines,991.06
34,99668.03,1,Faroe Islands,95.26
50,47654.78,1,Afghanistan,824.93
34,143827.46,1,Netherlands Antilles,783.06
60,106938.93,1,Antigua and Barbuda,68.39
20,149020.1,0,Bahrain,599.7
40,132464.3,1,Senegal,257.97
25,126104.49,0,Tuvalu,424.24
37,80533.68,0,Saint Pierre and Miquelon,913.7
21,142350.97,1,Liechtenstein,19.14
63,65886.91,0,Spain,424.57
29,116115.29,0,Serbia,606.46
45,71607.96,1,Zimbabwe,453.99
59,102936.65,1,Congo,47.13
26,74123.42,1,Slovenia,697.35
36,20995.49,0,French Southern Territories,646.97
26,108926.58,1,Saint Lucia,192.08
36,62050.68,0,Guinea,982.49
31,120623.63,0,Lithuania,680.77
57,87317.79,1,Holy See (Vatican City State),612.22
26,25438.92,1,Gabon,165.72
23,25233.81,1,British Virgin Islands,819.62
27,114793.03,1,Gambia,663.39
21,64810.83,0,Malawi,162.47
21,31439.32,1,Andorra,803.63
63,144272.91,0,Belgium,712.74
45,85024.24,0,Senegal,468.38
20,74596.0,1,Angola,796.03
52,73771.26,1,Netherlands,192.08
28,24167.4,0,Saint Kitts and Nevis,280.51
47,37306.51,1,Faroe Islands,754.11
22,43975.15,1,French Guiana,599.07
53,57324.56,0,Afghanistan,895.12
30,30452.42,0,American Samoa,340.82
31,83364.39,0,Afghanistan,944.5
33,56603.87,1,Mayotte,211.72
32,29839.86,0,United Arab Emirates,37.28
58,129651.91,1,Italy,914.37
63,22443.88,0,Singapore,105.69
49,145694.1,1,Western Sahara,682.0
37,102866.12,1,Turks and Caicos Islands,330.26
23,66870.16,0,Madagascar,798.97
32,94697.68,1,Falkland Islands (Malvinas),426.79
40,78928.55,0,Faroe Islands,480.99
30,140141.52,0,Sweden,19.85
19,51452.01,0,Bahrain,929.2
45,98852.46,0,Congo,456.35
39,29903.66,1,Gibraltar,740.75
32,61753.02,0,Eritrea,786.35
40,76404.07,0,Kuwait,833.1
54,45298.62,0,Greece,713.24
30,74629.55,0,Grenada,614.75
29,31822.78,1,Paraguay,544.54
25,55362.14,1,Dominica,265.06
45,132629.55,1,Botswana,581.66
38,132337.68,0,Honduras,375.68
26,52132.76,1,Timor-Leste,212.14
64,59965.57,0,Suriname,482.47
46,62209.67,1,French Guiana,675.95
56,93500.89,1,Brazil,363.52
51,53317.47,1,Jersey,457.71
23,87786.01,0,Latvia,155.83
27,37907.16,0,North Macedonia,827.32
55,63238.66,1,Montserrat,194.85
44,44937.04,0,Qatar,313.65
41,127887.29,0,Central African Republic,858.47
37,95613.92,0,Burkina Faso,448.68
26,108392.16,0,Eritrea,176.93
56,106657.63,0,Serbia,146.38
57,27756.5,0,Bouvet Island (Bouvetoya),214.98
53,88634.9,1,Cote d'Ivoire,316.22
65,31981.55,0,Morocco,140.71
29,130714.1,1,Slovakia (Slovak Republic),730.92
58,36528.38,0,Mauritania,478.36
37,90838.64,0,Guatemala,190.7
37,33115.76,0,Tajikistan,474.97
27,116029.11,0,Comoros,694.28
39,79411.38,0,Cape Verde,632.06
45,105165.17,0,Russian Federation,127.39
48,28067.78,0,Western Sahara,814.31
45,21430.87,0,Jordan,603.52
42,50778.22,0,India,590.85
47,36109.17,0,Eritrea,32.2
57,23169.97,0,New Zealand,637.83
41,37614.65,0,Yemen,185.32
56,97821.87,1,Austria,735.56
52,89174.62,1,Marshall Islands,971.49
46,28875.3,0,Ukraine,433.89
36,100820.94,0,Malawi,934.21
35,68982.69,1,Comoros,837.98
63,99675.85,1,Saint Helena,624.93
52,145290.47,1,China,151.13
27,39718.74,0,Malta,808.61
21,62200.96,0,Micronesia,276.48
65,40255.68,0,Cameroon,545.41
39,48498.48,1,Hong Kong,190.25
21,53051.8,0,Isle of Man,666.61
25,137285.37,0,Libyan Arab Jamahiriya,944.87
28,119796.11,1,Czech Republic,723.99
55,46786.38,0,Malawi,985.7
19,100489.79,1,Spain,872.43
46,111785.58,1,Saint Barthelemy,103.51
22,79310.18,0,Mali,264.52
34,78145.18,1,France,614.23
36,25727.96,1,Denmark,338.18
22,57008.49,1,El Salvador,690.53
55,32146.01,1,Serbia,16.74
57,20682.92,1,Eritrea,950.45
62,59268.15,0,Argentina,263.43
55,106660.79,1,Peru,557.68
50,126063.87,1,Antarctica (the territory South of 60 deg S),445.86
28,34770.05,0,Aruba,534.02
52,138326.56,0,French Guiana,595.52
26,135222.57,1,Czech Republic,461.77
54,93322.7,0,Syrian Arab Republic,494.33
65,101858.12,0,Liechtenstein,305.0
53,85114.67,1,Guatemala,735.84
63,132050.85,1,Cocos (Keeling) Islands,191.91
48,109751.94,1,Lithuania,669.63
32,53858.43,1,Nepal,765.81
64,92664.31,1,Fiji,421.94
46,131521.04,1,Switzerland,914.66
22,140277.54,1,Tunisia,277.5
19,94998.0,1,Antigua and Barbuda,861.91
53,99510.13,1,Mozambique,518.39
50,61913.3,1,Lao People's Democratic Republic,519.79
30,104828.97,1,Australia,914.36
34,119412.63,0,Albania,320.88
43,106314.45,0,Pitcairn Islands,404.65
45,43684.01,1,Ecuador,412.28
50,117529.09,1,Finland,197.64
40,69483.61,0,Saint Kitts and Nevis,911.97
58,106230.19,0,Uruguay,558.78
42,30273.72,1,Mauritania,260.69
35,58699.3,0,Panama,765.41
56,140371.14,0,Turkmenistan,994.38
36,142061.1,0,Paraguay,783.83
35,35738.39,1,Austria,987.49
55,88073.45,1,Guam,527.8
42,32395.55,0,Syrian Arab Republic,751.04
55,26002.53,0,Turkmenistan,693.76
44,119609.32,1,Congo,444.35
24,136743.67,0,Faroe Islands,168.17
53,46706.08,1,Bhutan,79.45
33,140879.9,1,Liberia,777.96
51,118666.04,1,Palau,794.0
28,73625.7,0,Sierra Leone,689.43
21,55857.66,0,Ecuador,733.76
62,55938.23,1,United States Minor Outlying Islands,651.48
24,40694.4,1,Saint Helena,963.92
50,32712.91,0,Panama,617.54
23,74643.54,0,Cote d'Ivoire,857.97
40,91240.94,1,Marshall Islands,778.2
23,131447.89,0,French Polynesia,869.19
61,120669.89,0,Korea,433.39
46,121588.14,1,New Zealand,409.49
61,67501.87,1,Iran,90.52
29,110487.94,1,Romania,55.11
46,114334.03,1,Hong Kong,275.84
41,104253.91,0,Gambia,628.46
29,113348.3,1,Tonga,759.04
25,67202.07,0,Turks and Caicos Islands,571.7
53,33310.33,1,Portugal,784.46
39,75097.4,1,Cape Verde,889.12
53,99349.38,0,Cook Islands,91.07
27,80982.41,0,Panama,673.42
54,34879.47,1,Bosnia and Herzegovina,64.02
39,139726.06,1,San Marino,692.45
24,94423.49,0,Dominica,480.42
62,65409.04,0,Tunisia,174.01
59,41387.35,1,Zambia,620.64
23,73419.23,1,Tanzania,17.29
58,134708.98,1,Ecuador,350.27
20,122878.17,0,Canada,490.42
47,22153.59,1,Macao,315.97
29,38204.76,1,New Caledonia,420.56
52,119989.86,0,Reunion,21.1
43,142481.91,0,Estonia,360.51
42,28896.22,0,Djibouti,39.14
59,135914.5,0,Ukraine,369.81
41,137480.35,0,Montserrat,327.8
36,76917.99,1,Mauritania,870.46
47,147895.97,0,Chad,410.35
52,44612.21,0,Montenegro,818.57
38,91028.59,0,Samoa,643.77
44,56337.28,1,Bosnia and Herzegovina,876.43
53,54399.49,0,Togo,337.12
55,26892.23,0,Montserrat,724.94
37,127364.85,0,Lesotho,460.96
61,120912.59,0,Belgium,687.99
60,29665.47,0,Yemen,422.77
56,99706.4,1,Bolivia,147.09
29,65435.66,0,South Africa,984.26
49,144324.41,0,Kenya,534.38
29,48242.55,1,Benin,28.26
56,77803.9,0,United Arab Emirates,866.94
57,135656.12,1,Norway,872.53
22,75946.35,0,Russian Federation,940.22
53,111863.11,0,Somalia,698.92
36,82789.36,1,Puerto Rico,317.18
33,54822.1,0,Switzerland,668.74
57,105233.31,1,Estonia,32.93
62,122645.25,1,Libyan Arab Jamahiriya,24.4
27,126296.33,0,Russian Federation,813.75
42,108435.07,1,Iraq,517.52
43,58383.62,1,Kiribati,328.67
46,54467.66,0,Japan,959.74
40,93961.57,1,Guyana,364.63
54,45054.08,1,Somalia,187.95
30,93096.08,1,Turks and Caicos Islands,806.22
62,75488.4,0,Sweden,826.92
51,78231.48,0,Lao People's Democratic Republic,723.16
61,46461.81,0,Saint Lucia,345.41
45,51082.04,1,Japan,431.6
29,38736.36,1,Saudi Arabia,735.35
52,75150.97,0,Panama,84.66
62,86560.76,1,Bahrain,442.76
48,64426.23,0,Mexico,722.95
51,124473.63,1,Lithuania,797.36
37,70619.3,0,Lao People's Democratic Republic,702.73
60,27245.58,0,Trinidad and Tobago,715.55
30,41198.91,1,Western Sahara,102.09
43,146594.97,0,Kuwait,525.76
59,20303.47,1,Moldova,542.11
35,140605.82,0,Djibouti,208.37
36,95455.31,0,Yemen,143.68
54,68186.94,1,Vietnam,513.59
24,20412.87,1,Brazil,60.43
61,33805.84,0,Holy See (Vatican City State),344.41
60,21982.12,1,Mayotte,900.11
47,118153.08,0,Saint Lucia,902.9
24,95084.73,0,United States of America,501.19
36,89108.41,0,Cocos (Keeling) Islands,878.11
25,105907.29,0,Turkmenistan,955.84
56,120932.29,0,Albania,733.91
51,20712.93,1,Papua New Guinea,158.85
51,135808.87,1,Russian Federation,791.59
25,148793.36,1,United States of America,515.25
43,64149.48,1,Pitcairn Islands,122.37
65,134088.31,0,Central African Republic,600.41
63,45030.99,0,Bouvet Island (Bouvetoya),561.4
21,138957.54,1,Morocco,566.55
39,136161.1,1,Portugal,755.96
53,29072.44,0,Sri Lanka,669.4
54,48001.77,0,Philippines,500.47
22,138668.78,1,Saudi Arabia,124.07
26,81621.01,1,Sudan,356.42
18,102508.81,0,Macao,398.75
33,64985.42,0,Mayotte,305.73
39,27246.09,0,San Marino,741.22
36,142540.06,0,Nicaragua,121.75
61,84982.02,0,Hungary,119.0
35,80694.07,0,Nepal,538.84
62,100112.82,0,Croatia,447.04
39,49362.05,1,Christmas Island,481.23
42,58743.05,0,Dominican Republic,743.75
52,101951.51,1,Bulgaria,464.7
36,47681.45,0,Morocco,411.55
29,60796.97,0,Switzerland,684.28
28,141711.19,0,Macao,863.58
20,148338.34,1,Barbados,538.98
40,81353.74,0,Tanzania,155.14
55,122572.43,0,Spain,715.44
46,77689.71,0,Marshall Islands,971.72
56,137175.75,1,Korea,318.26
61,92334.82,1,Tunisia,873.12
23,120791.76,1,Belgium,355.99
47,96167.62,0,Croatia,938.95
41,111213.49,1,Taiwan,394.39
38,85778.53,1,Latvia,363.88
29,54607.55,1,Central African Republic,478.35
46,20865.94,0,Bosnia and Herzegovina,22.89
56,49590.6,0,Russian Federation,589.52
42,49734.69,0,Puerto Rico,153.65
57,142623.22,1,Antarctica (the territory South of 60 deg S),13.92
51,26035.39,0,Iceland,861.65
38,99285.21,0,Qatar,817.79
43,105325.67,0,Belarus,891.53
23,49216.26,1,Belize,740.46
34,47913.01,1,Reunion,374.27
48,90871.77,0,Greece,489.09
27,54839.05,1,Burkina Faso,510.95
41,143935.19,1,Seychelles,53.68
51,142362.34,0,Tajikistan,615.57
24,140935.74,1,Lao People's Democratic Republic,680.95
58,136308.84,0,Israel,923.72
52,119930.27,0,Iraq,730.35
59,95764.97,0,Italy,675.9
33,55820.55,1,Saint Martin,495.33
44,95328.69,0,Senegal,757.35
32,48809.55,0,Egypt,200.78
46,28603.46,0,Philippines,236.61
26,82071.06,1,Jamaica,35.02
62,47127.1,1,Bhutan,348.57
28,61080.06,0,Nicaragua,700.25
43,62991.6,1,Puerto Rico,45.92
28,35526.69,1,Jordan,304.91
48,22728.23,0,Montserrat,621.32
44,126379.78,0,Nicaragua,658.94
34,139081.48,1,British Virgin Islands,371.15
41,32680.73,0,Argentina,907.96
50,50783.61,1,France,268.86
30,103152.58,1,Albania,268.2
49,111792.74,0,Cape Verde,126.13
65,45111.31,1,United States Virgin Islands,411.83
34,68641.87,1,Madagascar,702.28
35,20947.29,1,Isle of Man,562.36
53,143181.34,1,Denmark,156.15
56,66947.64,0,Israel,988.73
64,98857.89,0,Singapore,104.77
35,103170.67,0,Armenia,800.36
33,149693.61,1,Sweden,720.05
44,119835.96,0,Bahamas,947.27
35,122588.95,1,Bangladesh,846.73
59,34713.3,0,Saint Vincent and the Grenadines,545.56
53,86399.17,0,Heard Island and McDonald Islands,376.28
47,49335.68,0,Australia,933.16
41,142327.99,0,Iceland,148.07
49,95012.23,0,Finland,13.87
61,48580.39,0,Andorra,550.92
63,76470.68,1,Antigua and Barbuda,961.26
55,67068.95,0,Vietnam,338.22
54,127873.42,0,Montserrat,94.55
24,115221.17,1,Egypt,326.66
46,146289.23,1,Cambodia,913.07
29,57401.56,0,Congo,828.6
28,29417.75,0,Reunion,984.8
22,59205.49,0,Gambia,841.39
30,134379.18,0,Switzerland,64.03
48,71022.6,1,Bhutan,639.38
22,92804.24,0,Burundi,11.79
44,143361.76,0,Nigeria,621.32
54,109421.48,1,Isle of Man,657.34
31,137073.51,0,Northern Mariana Islands,854.43
43,139206.4,0,Palestinian Territory,544.54
20,65879.57,1,Lebanon,316.59
42,135769.8,0,Reunion,137.83
57,70452.96,1,Burkina Faso,872.56
42,69252.47,0,New Zealand,682.85
23,132628.43,1,Costa Rica,446.54
50,87666.29,1,Tajikistan,799.61
60,145864.25,1,Egypt,43.76
44,29323.35,1,French Southern Territories,638.25
58,102484.41,0,Madagascar,486.98
55,110178.61,0,Cyprus,926.74
48,62523.4,0,Slovakia (Slovak Republic),817.64
50,59351.15,0,Portugal,893.96
43,23439.62,0,Qatar,923.99
36,46988.58,0,Israel,889.34
61,28633.92,1,Cyprus,972.82
19,55944.53,1,Dominica,793.34
64,126762.83,0,Jamaica,258.61
48,45692.19,0,Belarus,678.42
45,122409.21,0,Brazil,950.87
18,108871.6,1,French Guiana,138.33
60,83772.57,0,Norway,793.39
20,114880.14,1,Jordan,102.06
61,30243.85,1,Turks and Caicos Islands,191.26
42,107486.53,1,Brazil,882.03
51,58913.05,0,Central African Republic,765.14
49,103047.53,0,Finland,589.83
47,79044.63,0,New Zealand,130.0
46,84072.96,0,Nicaragua,643.95
35,89239.14,1,Martinique,548.84
50,59379.63,0,Taiwan,54.83
54,60515.25,0,South Africa,596.92
18,114082.23,1,Guadeloupe,108.24
24,43926.98,1,Nicaragua,548.74
19,97208.34,1,New Caledonia,553.36
55,146711.16,1,Saint Pierre and Miquelon,452.97
28,102972.34,0,China,713.35
20,105566.69,1,Jersey,630.15
56,75185.26,0,Turkmenistan,302.51
47,108618.64,1,New Caledonia,206.1
31,121896.68,1,Syrian Arab Republic,299.46
33,71024.6,0,Kyrgyz Republic,620.57
20,45915.91,0,Namibia,571.09
45,67689.62,0,Bhutan,565.65
34,31221.27,1,Nepal,636.43
50,100885.1,1,Paraguay,201.98
47,45046.09,0,Uzbekistan,452.78
27,29473.93,0,Portugal,859.39
55,45357.7,1,Holy See (Vatican City State),902.9
25,136883.7,0,Honduras,78.23
58,41469.66,0,Cocos (Keeling) Islands,427.12
38,124845.12,1,Myanmar,258.82
58,111373.16,0,Venezuela,154.03
19,43235.75,0,Botswana,525.45
61,119272.82,0,France,336.32
57,138846.44,0,Angola,642.83
55,103281.98,0,Lao People's Democratic Republic,731.81
27,57967.76,1,Monaco,883.32
40,51065.54,0,Korea,461.6
50,98876.41,0,Sao Tome and Principe,558.98
44,116388.25,0,El Salvador,848.31
55,108996.72,0,Hong Kong,647.01
43,79693.22,0,Switzerland,296.24
49,87153.42,1,French Polynesia,969.62
18,66417.81,0,North Macedonia,729.14
28,25111.11,0,Namibia,313.04
18,64785.31,1,Saint Helena,473.22
53,62418.87,0,Suriname,606.88
57,23823.74,1,Guernsey,848.6
35,109072.36,1,Sweden,668.97
38,126187.25,0,Kazakhstan,71.54
59,144622.13,0,Aruba,743.88
52,149571.11,1,French Polynesia,104.77
56,117458.34,0,Sudan,355.87
39,49815.58,1,French Guiana,884.31
29,76284.21,0,Brunei Darussalam,197.72
25,75406.59,1,Equatorial Guinea,259.04
46,26157.37,1,Honduras,112.67
34,81952.09,1,Angola,343.91
18,50792.5,0,Niger,252.36
48,35333.55,1,Guernsey,731.78
24,48304.35,1,Greenland,401.84
56,37606.38,0,Papua New Guinea,698.44
20,138678.36,1,Turkey,126.57
57,140639.01,1,Philippines,641.24
60,68444.36,1,Gibraltar,95.43
56,29408.77,0,Turkmenistan,903.04
59,86344.98,1,Argentina,628.18
45,25904.06,0,Northern Mariana Islands,887.82
45,33978.28,1,Canada,255.24
32,131749.16,1,Macao,535.01
39,75134.98,0,Sao Tome and Principe,196.91
22,100229.93,0,Burundi,237.62
62,114944.23,1,Kyrgyz Republic,652.64
35,136962.69,0,Dominica,556.64
58,54274.42,0,Cyprus,190.61
27,149824.1,1,Dominican Republic,40.61
41,78637.24,0,Guinea-Bissau,653.25
60,86776.65,1,Barbados,530.08
39,107865.29,1,Heard Island and McDonald Islands,18.62
49,104735.87,0,India,678.51
31,108740.51,1,Morocco,292.25
35,87347.23,0,French Polynesia,484.71
31,74898.34,1,Saint Lucia,669.58
33,28204.26,0,Lesotho,761.67
45,117476.54,1,Dominica,585.71
30,43945.62,0,Niger,991.93
61,125286.93,1,Liberia,163.13
26,135124.73,0,Andorra,567.36
51,100461.57,1,Netherlands Antilles,122.84
38,49098.91,0,Saint Lucia,400.82
56,56062.35,1,Kazakhstan,305.1
54,61330.99,0,Croatia,162.25
31,91688.64,1,Montenegro,612.39
39,81098.2,1,Andorra,387.17
30,26271.38,0,Armenia,984.26
19,123392.09,0,South Africa,733.38
53,86209.91,0,Jersey,931.56
18,126824.47,0,Uganda,537.97
32,34034.73,1,Guyana,296.8
58,28385.83,1,British Indian Ocean Territory (Chagos Archipelago),580.12
29,21799.71,0,Kiribati,863.67
41,136792.12,1,Norway,115.17
52,125219.27,1,Botswana,554.58
59,73937.49,0,Italy,311.76
30,27844.35,0,Tajikistan,369.07
19,136187.32,1,Ukraine,655.28
62,115929.17,1,Estonia,469.92
43,99188.45,0,Vanuatu,198.88
59,60241.48,0,Sudan,271.22
36,23219.57,0,Thailand,520.36
22,24117.72,1,Mongolia,145.21
63,35748.2,1,Sri Lanka,409.61
47,92255.83,0,Palestinian Territory,400.05
36,133676.06,0,Morocco,266.56
29,130371.19,0,Comoros,11.38
35,68363.23,1,Belarus,432.72
34,126325.83,0,Equatorial Guinea,519.64
65,133206.92,0,Israel,462.91
28,61900.94,1,Ecuador,716.27
61,131005.02,1,Turks and Caicos Islands,112.18
44,41371.09,0,Nauru,636.87
34,58703.98,0,Sudan,884.73
49,53239.83,1,China,535.29
30,28659.95,1,Turkmenistan,666.32
55,32263.72,0,Brazil,405.76
36,109104.33,0,Ireland,223.87
56,21280.49,0,Grenada,196.3
40,20876.71,0,Nepal,931.26
59,147950.28,1,Liberia,643.22
26,147749.01,0,Dominica,479.99
30,64010.47,1,Kazakhstan,211.45
44,116370.52,0,Latvia,567.9
62,93146.85,0,Vietnam,60.4
27,143233.67,1,Saint Lucia,256.45
57,140361.52,1,Slovakia (Slovak Republic),333.91
39,31217.93,0,Malta,66.33
28,98293.46,1,Denmark,911.47
50,55973.15,0,Russian Federation,568.91
22,118708.22,0,Montenegro,83.72
25,96999.94,0,United States of America,248.38
41,146328.83,1,Saint Lucia,830.39
41,57850.75,1,Dominican Republic,493.79
18,87979.54,1,American Samoa,220.66
23,40267.03,0,Heard Island and McDonald Islands,905.86
20,34517.37,1,Belarus,714.97
36,66643.73,1,Palau,68.5
57,60735.41,1,Italy,538.01
54,39162.05,0,Andorra,17.24
35,123234.43,1,Antigua and Barbuda,386.59
55,80387.66,0,Namibia,272.19
18,91244.09,1,Netherlands,763.19
